"Find companies","company_name","legal_name","Normalized Name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Indorama Ventures: Indovinya","✅ Indorama Ventures: Indovinya","Indorama Ventures: Indovinya","We're Indovinya, a top producer of chemical intermediates and surfactants. Our extensive portfolio is designed to meet our customers' most diverse needs. As producers of solutions used for home and personal care, crops, coatings, energy and resources and other applications, we are present in the daily lives of millions worldwide. Through our increasingly sustainable chemistry, designed to meet the needs of each of our customers carefully, we want to transform our operations and products into something increasingly relevant for the planet.  

We are part of Indorama Ventures Public Company Limited, one of the world's leading petrochemical producers, and are present globally with manufacturing in Europe, Africa,  Americas, and Asia-Pacific.  

With 15 plants, seven  R&D centers, and an experienced management team, we have a strong track record of environmental stewardship. Our expertise lies in innovative, eco-friendly chemistry. Today, Indovinya emerges as a more robust and strategic company dedicated to driving new business opportunities while prioritizing the well-being of countless individuals as employees, customers, suppliers and mainly the communities close to our operations worldwide.","Chemical Manufacturing","501-1,000 employees","Public Company","The Woodlands, Texas","United States","indoramaventures.com","https://www.linkedin.com/company/indorama-ventures-indovinya","Yes","Exports: Yes  
Evidence: Pt Indorama Ventures Indonesia, a part of the Indorama Ventures group, has recorded 1,347 export shipments in the last three years, with top export destinations including Singapore, South Korea, Thailand, Malaysia, and Japan[1]. This confirms that the company actively exports products internationally.",,,
,"Chem-Aqua, Inc.","✅ Chem-Aqua","Chem-Aqua","Chem-Aqua is a unique combination of knowledge, experience and stability. We specialize in providing custom designed water treatment programs for boiler, cooling, and process water systems. We help our customers minimize their energy, water, and maintenance costs while ensuring safe and reliable operation of these critical systems.

Chem-Aqua has the expertise and commitment to help solve virtually any water related problem. We maintain modern, well-equipped analytical laboratories and cutting edge research facilities. Our state-of-the-art products are manufactured to rigorous ISO 9001 specifications. Our field representatives are well trained and backed by some of the most experienced water treatment specialists in the business. Our Total System Approach allows us to provide custom water treatment solutions that will make a bottom line difference to your operation. 

Chem-Aqua is the wholly owned water treatment subsidiary of NCH Corporation, a worldwide company that has been providing high-quality maintenance supplies, chemicals and services for more than 85 years. Our Corporate Offices are located in Irving, Texas, USA. We have over 25 manufacturing plants and distribution centers worldwide, and can provide custom water treatment solutions in over 28 countries in North and South America, Europe, and Asia.","Chemical Manufacturing","501-1,000 employees","Privately Held","Irving, TX","United States","chemaqua.com","https://www.linkedin.com/company/chem-aqua","Yes","Exports: Unknown  
Evidence: The search results primarily provided export information about companies named ""Aqua Chem"" or similar variations, but no direct information related to Chem-Aqua, Inc. or their exporting or international shipping activities was found on their official website or LinkedIn profile. The Chem-Aqua website mentions chemical delivery solutions but does not explicitly state if they export or ship products internationally[2][4]. Therefore, there is no conclusive evidence from the provided sources about Chem-Aqua, Inc.'s export status.",,,
,"Shell Polymers","✅ Shell Polymers","Shell Polymers","(Real)ationships start here. 

Nope, not a typo.

It’s a world where you’ll whisper “that went well” after a supplier call…and actually mean it. It’s an account manager listening to your unique business needs. It’s our answer to the supplier status quo you might be used to and a pinky promise that we’ll do better.

In short? (Real)ationships are built on trust and transparency, bringing your big ideas to life and—above all else—being real.

To learn more, visit https://us.polymers.shell.com/realationships-start-here","Chemical Manufacturing","501-1,000 employees",,"Houston, Texas","United States","shell.com","https://www.linkedin.com/company/shellpolymers","Unknown","Exports: Yes  
Evidence: Shell Polymers Monaca, located in Pennsylvania, is strategically positioned to serve customers within a 700-mile radius covering 70 percent of the U.S. polyethylene market and offers customers shorter supply chains and access to polyethylene pellets used in a wide variety of products. This positioning and customer reach imply distribution beyond local boundaries. Additionally, Shell Polymers participates in global efforts such as the plastics circular economy and is part of Shell’s Powering Progress strategy to grow its chemicals business globally, indicating international market involvement and export potential[2][3][5].  

While explicit use of the words ""exports"" or ""ships internationally"" is not directly quoted, the strategic location near major markets, mention of global initiatives, and serving diverse product markets strongly suggest exporting activity.",,,
,"LanzaTech","✅ LanzaTech","LanzaTech","Our way of life is built on carbon, from our fuel sources to the materials in our consumer products, but we need a more sustainable way to source it to protect the future of our planet.

LanzaTech Global, Inc. is the carbon recycling company transforming waste carbon into sustainable raw materials for everyday products. Using its biorecycling technology, LanzaTech captures carbon-rich gases generated by energy-intensive industries at the source, preventing them from being emitted into the air. LanzaTech then gives that captured carbon a new life as a sustainable replacement for virgin fossil carbon in everything from household cleaners and clothing fibers to packaging and fuels. By partnering with companies across the global supply chain like ArcelorMittal, Zara, H&M Move and Coty, LanzaTech is paving the way for a circular carbon economy.","Chemical Manufacturing","201-500 employees","Privately Held","Skokie, Illinois","United States","lanzatech.com","https://www.linkedin.com/company/lanzatech","Yes","Exports: Yes  
Evidence: LanzaTech Global Inc. announced the shipment of ethanol from its flagship Steelanol facility in Belgium, indicating international shipment of products[1]. Additionally, the company has partnerships and joint ventures in multiple regions such as Saudi Arabia and the Middle East, reflecting global commercial activities[2]. They also have commercial production plants and partnerships with multinational corporations and airlines worldwide, supporting the export and international distribution of their sustainable fuels and chemicals[4].",,,
,"Bell Flavors & Fragrances","✅ Bell Flavors & Fragrances","Bell Flavors & Fragrances","Bell Flavors & Fragrances develops products for the food, beverage, cosmetic, personal care and household care companies throughout the world.  Bell has operations in 10 countries, Germany, US, Mexico, Canada, Brazil, Colombia, Singapore, Malaysia, India & China and sells in over 100 countries throughout the world. Bell is proud to be privately held by the Heinz family.","Chemical Manufacturing","501-1,000 employees","Privately Held","Northbrook, IL","United States","bellff.com","https://www.linkedin.com/company/bell-flavors-&-fragrances","Yes","Exports: Yes  
Evidence: Bell Flavors & Fragrances operates globally with a network in 20 countries, including 12 manufacturing facilities and sales offices in over 90 countries. They emphasize their ability to serve 100 international markets and leverage a global network to develop market-oriented product concepts. Their website states: “Diversified and operating worldwide, we draw on our global network to develop market-oriented product concepts” and “Bell has been an integral partner in the flavor, fragrance and botanical industries for over 110 years” with presence in many countries, indicating active international business, including exports[1][2][3].",,,
,"Vantage Specialty Chemicals","✅ Vantage Specialty Chemicals","Vantage Specialty Chemicals","Vantage is a leading global supplier of naturally derived specialty ingredients and formulations that cater to the evolving needs of industrial and consumer markets. 

Using our vertical raw material position, technical expertise and flexible process capabilities, we add value by derivatizing fatty acids through alkoxylation and esterification to make products that improve our customers’ applications. That, coupled with our deep understanding of the markets we serve, enable Vantage to competitively and proactively meet customer requirements. 

We are a preferred supplier to our customers by maximizing our industry and technical know-how, our services, and our specialty solutions and chemical blends.","Chemical Manufacturing","501-1,000 employees","Privately Held","Deerfield, Illinois","United States","vantagegrp.com","https://www.linkedin.com/company/vantage-specialty-chemicals","Yes","Exports: Yes  
Evidence: Trade data shows that Vantage Specialty Chemicals Lipo, a U.S.-based entity, has recorded export shipments (2 export shipments) in global import-export data[1]. Additionally, another related entity, Vtg Specialty Chemicals Sa based in Argentina, also has recorded export shipments (3 export shipments)[5]. This indicates that the company or its affiliates engage in exporting or international shipping activities."